QuestionText,"<p>Field experiments test interventions in real-world settings to understand their causal effects. In this study, researchers wanted to see if the way information was framed could influence voter support for environmental policy.</p><p>To estimate the effect of messaging on voter opinion, a randomized experiment was conducted. Group 1 received an SMS message using a specific policy framing (e.g., highlighting potential job creation from the bill); out of 800 voters in this group, 200 subsequently expressed support for a climate bill (sample proportion \(\scriptsize \hat{p}_1 = 0.25\)). Group 2 (the control group) received a neutral reminder message (e.g., simply stating 'Vote on the climate bill next Tuesday'); out of 600 voters, 180 supported the bill (sample proportion \(\scriptsize \hat{p}_2 = 0.30\)).</p><p>The observed difference in support rates (treatment - control) is \(\scriptsize \Delta = \hat{p}_1 - \hat{p}_2 = -0.05\).</p><p>A \(\scriptsize 95\%\) confidence interval for the true difference in population proportions (\(\scriptsize p_1 - p_2\)) was calculated as [ -0.097, -0.003 ]. </p><p>Based *only* on this confidence interval and using a \(\scriptsize 5\%\) significance level (\(\scriptsize \alpha = 0.05\)), what conclusion can be drawn about the effectiveness of the policy-framing message compared to the neutral reminder?</p>",,,,
Points,2,,,,
Option,100,The neutral reminder (Group 2) generated *significantly higher* support than the policy framing (Group 1).,,,
Option,0,There is *no statistically significant difference* in support between the two message types.,,,
Option,0,The policy framing (Group 1) generated *significantly higher* support than the neutral reminder (Group 2).,,,
Option,0,The result is inconclusive because the confidence interval includes zero.,,,
,,,,,
NewQuestion,MC,,,,
Title,Vaccination Rate Comparison: z-statistic,,,,
QuestionText,"<p>A public health department is investigating whether there is a statistically significant difference in COVID-19 vaccination rates between urban and rural populations in their jurisdiction. They collected the following sample data:</p><p>* Urban Sample: 120 out of 400 residents were vaccinated (\(\scriptsize \hat{p}_1 = 0.30\))</p><p>* Rural Sample: 125 out of 500 residents were vaccinated (\(\scriptsize \hat{p}_2 = 0.25\))</p><p>To formally test the null hypothesis that the true population proportions are equal (\(\scriptsize H_0: p_1 = p_2\), meaning \(\scriptsize p_1 - p_2 = 0\)), calculate the appropriate *pooled two-proportion z-test statistic*. Assume the samples are independent.</p><p>Select the value below that best matches your calculation, rounded to two decimal places.</p>",,,,
Points,2,,,,
Option,100,+1.67,,,
Option,0,+1.28,,,
Option,0,+2.33,,,
Option,0,−1.67,,,
,,,,,
NewQuestion,MC,,,,
Title,Field Experiment: z-statistic Calculation,,,,
QuestionText,"<p>Recall the randomized field experiment investigating voter support for a climate bill, comparing a policy-framing SMS message (Group 1) against a neutral reminder (Group 2). The sample data was:</p><p>* Group 1 (Policy Framing): 200/800 supported (\(\scriptsize \hat{p}_1 = 0.25\))</p><p>* Group 2 (Neutral Reminder): 180/600 supported (\(\scriptsize \hat{p}_2 = 0.30\))</p><p>We previously constructed a confidence interval to estimate the difference between these groups (\(\scriptsize p_1 - p_2\)). Now, let's calculate the test statistic needed to formally test the null hypothesis that there is no difference in the true population proportions (\(\scriptsize H_0: p_1 = p_2\)) against the two-sided alternative (\(\scriptsize H_a: p_1 </p>eq p_2\)).</p><p>Compute the pooled two-proportion z-test statistic. Select the value below that best matches your result, rounded to two decimal places.</p>",,,,
Points,2,,,,
Option,100,-2.08,,,
Option,0,−1.64,,,
Option,0,+2.08,,,
Option,0,−2.58,,,
,,,,,
